#Data_base;Documento;Código_da_Conta;Nome_da_Conta;Saldo_Consolidado
202412;4010;81739008;(-) DESPESAS DE PROCESSAMENTO DE DADOS;-139334259.92
202412;4010;49920000;OBRIGAÇÕES POR AQUISIÇÃO DE BENS E DIREITOS;161973210.10
202412;4010;19840000;ATIVOS EM ESTOQUE;1228332.51
202412;4010;13120001;TÍTULOS DE RENDA VARIÁVEL;3903991.32
202412;4010;89410305;Ativo Fiscal Diferido;22575461.37
202412;4010;21600001;Propriedades para Investimento;2003606.86
202412;4010;49935105;Trabalhistas;33154112.66
202412;4010;60000002;PATRIMONIO LIQUIDO;16887893677.47
202412;4010;11200002;Depósitos Bancários;111225146.67
202412;4010;81600003;(-) Despesas de Participações;-26239450.62
202412;4010;22530307;Equipamentos de Comunicação e de Segurança;7188293.67
202412;4010;13115652;Cotas de Fundo Imobiliário;1970412.07
202412;4010;20000004;ATIVO PERMANENTE;1236656993.79
202412;4010;71910404;De Outros Ativos Financeiros;1662478.11
202412;4010;21210116;Autorizadas a Funcionar pelo Banco Central – Valor de Equivalência Patrimonial;243214269.36
202412;4010;12000005;APLICAÇÕES INTERFINANCEIRAS DE LIQUIDEZ;3483153218.79
202412;4010;80000006;(-) RESULTADO DEVEDOR;-9866933354.28
202412;4010;49930502;Outras Despesas Administrativas;1312830680.14
202412;4010;71520007;RENDAS DE TÍTULOS DE RENDA VARIÁVEL;7294408.70
202412;4010;73920007;RENDAS DE ALUGUÉIS;6310993.78
202412;4010;40000008;PASSIVO EXIGÍVEL;17016019744.58
202412;4010;81760008;(-) DESPESAS DE SERVIÇOS DE VIGILÂNCIA E SEGURANÇA;-4923716.87
202412;4010;61120008;AUMENTO DE CAPITAL ;197539325.67
202412;4010;81840904;(-) Outras;-18584914.28
202412;4010;18880009;TÍTULOS E CRÉDITOS A RECEBER;1120107866.69
202412;4010;22560009;IMÓVEIS;35483975.90
202412;4010;61600009;Ajustes de Avaliação Patrimonial;-3306553.97
202412;4010;61110283;Cotas – País ;6426429493.43
202412;4010;61580301;Juros Sobre o Capital Próprio não Distribuídos ;270000.00
202412;4010;89420302;Ativo Fiscal Diferido;8202555.80
202412;4010;81721102;(-) Ativo Imobilizado;-2467144.09
202412;4010;81706000;(-) DESPESAS DE ALUGUÉIS;-43793437.22
202412;4010;30922000;RENDAS DE TVM – CONTROLE;966510349.53
202412;4010;73130000;LUCROS NA ALIENAÇÃO DE PARTICIPAÇÕES SOCIETÁRIAS;40855.54
202412;4010;18805008;ADIANTAMENTOS PARA PAGAMENTOS POR CONTA DA INSTITUIÇÃO;65843129.99
202412;4010;90922002;RENDAS GERADAS POR TVM – CONTROLE;966432535.91
202412;4010;61110290;Cotas – Exterior ;7265127.26
202412;4010;18845202;Antecipações de CSLL Não Compensadas no Próprio Exercício;50911287.39
202412;4010;13110035;Letras Financeiras do Tesouro;13271900.59
202412;4010;81930003;(-) DESPESAS DE CONTRIBUIÇÃO AO COFINS;-836811322.61
202412;4010;25130003;MARCAS;271654.85
202412;4010;22595603;(-) Imóveis – Edificações;-140464.93
202412;4010;13115157;Cotas de Fundo de Curto  Prazo;44700620.24
202412;4010;30984213;Ativos Fiscais Diferidos de Diferença Temporária – Provisões Passivas;190259554.58
202412;4010;61610006;(+/-) TITULOS DISPONÍVEIS PARA VENDA ;-3066325.98
202412;4010;49930007;PROVISÃO PARA PAGAMENTOS A EFETUAR;2196898892.37
202412;4010;61120280;Cotas – País ;55589325.67
202412;4010;18610200;Contra Estados, Distrito Federal e Municípios;11831334.20
202412;4010;30975002;PREVISÃO MENSAL DE RECURSOS A RECEBER DE CONSORCIADOS;6987030525.31
202412;4010;81727003;(-) DESPESAS DE PESSOAL – BENEFÍCIOS;-113654987.91
202412;4010;22510107;Imóveis;2114800.00
202412;4010;90975004;CONTRIBUIÇÃO DE CONSORCIADOS A RECEBER;6987030525.31
202412;4010;83999004;(-) OUTRAS DESPESAS NÃO OPERACIONAIS;-57854687.70
202412;4010;89710108;(-) Administradores;-3045721.47
202412;4010;18815005;CHEQUES A RECEBER;585.01
202412;4010;30926109;Despesas de Obrigações por Empréstimos e Repasses, Exceto Variação Cambial;-164619.86
202412;4010;19199005;(-) PROVISÃO PARA PERDAS EM PARTICIPAÇÕES SOCIETÁRIAS;-3841.28
202412;4010;13110303;CDB - Instituição Financeira Ligada;4196602038.76
202412;4010;25199903;(-) Outros;-7151895.63
202412;4010;90900000;Controle;578187914084.90
202412;4010;61300000;Reservas de Capital;262535594.51
202412;4010;25140000;DIREITOS DE EXCLUSIVIDADE OU PREFERÊNCIA;250000000.00
202412;4010;12500000;Aplicações em Depósitos de Poupança;523215.40
202412;4010;81718304;(-) Diretoria e Conselho de Administração;-14757606.73
202412;4010;71540001;RENDAS DE APLICAÇÕES EM FUNDOS DE INVESTIMENTO;518353012.56
202412;4010;71999009;OUTRAS RENDAS OPERACIONAIS;617395833.29
202412;4010;30919202;Depósitos – Recursos Recebidos;16552725.36
202412;4010;61140002;(-) REDUÇÃO DE CAPITAL ;-219107.00
202412;4010;18825507;Ativos Fiscais Diferidos;2106865849.02
202412;4010;81550115;(-) Swap;-1723932.41
202412;4010;13300003;Instrumentos Financeiros Derivativos;9586490.98
202412;4010;13315108;Diferencial a Receber;9586490.98
202412;4010;21620005;MENSURADAS PELO MÉTODO DO CUSTO;5330134.11
202412;4010;49935909;Outras Contingências;122792493.05
202412;4010;81748006;(-) DESPESAS DE PUBLICAÇÕES;-243812.80
202412;4010;18900006;(-) Provisões para Outros Créditos;-123804690.31
202412;4010;81620007;(-) DESPESAS DE AJUSTES EM INVESTIMENTOS EM COLIGADAS E CONTROLADAS;-26239450.62
202412;4010;22599207;(-) Instalações;-8250599.83
202412;4010;81737000;(-) DESPESAS DE REMUNERAÇÃO DE ESTAGIÁRIOS;-839098.36
202412;4010;61880104;(-) Dividendos Pagos Antecipadamente;-70647098.02
202412;4010;49300008;Sociais e Estatutárias;1119786813.16
202412;4010;30900008;Controle;578187914084.90
202412;4010;71700009;Rendas de Prestação de Serviços;11506340371.04
202412;4010;18825002;ATIVOS FISCAIS DIFERIDOS DE IMPOSTOS E CONTRIBUIÇÕES;2106865849.02
202412;4010;22505002;IMOBILIZADO EM ESTOQUE;2828479.66
202412;4010;13110059;Letras do Tesouro Nacional;34507704.87
202412;4010;90972203;Juros Sobre o Capital Próprio;109626293.68
202412;4010;81810219;(-) Despesas de Amortização – Intangível – Direitos Relativos a Carteiras de Clientes;-1858430.90
202412;4010;90921003;RENDAS GERADAS POR OPERAÇÃO DE CRÉDITO – CONTROLE;77813.62
202412;4010;81730605;(-) Previdência Complementar;-5505154.42
202412;4010;73990958;Desvalorização de Outros Valores e Bens;5614.22
202412;4010;61630000;(+/-) AJUSTES DE COMBINAÇÕES DE NEGÓCIOS ;440592.70
202412;4010;25199408;(-) Direitos de Exclusividade ou Preferência;-46875000.15
202412;4010;22590000;OUTROS IMOBILIZADOS DE USO;958066.79
202412;4010;19870001;ATIVOS NÃO FINANCEIROS MANTIDOS PARA VENDA - PRÓPRIOS;23543723.58
202412;4010;49897009;OBRIGAÇÕES POR ADIANTAMENTOS A TERCEIROS;4755026.10
202412;4010;81820209;(-) Instalações;-450992.21
202412;4010;81769009;(-) DESPESAS TRIBUTÁRIAS;-49772908.00
202412;4010;81810226;(-) Despesas de Amortização – Intangível – Sistemas de Processamento de Dados;-26764553.95
202412;4010;25199154;(-) Sistemas de Processamento de Dados;-248976448.88
202412;4010;81721906;(-)Outros;-4973268.38
202412;4010;11230003;DEPÓSITOS BANCÁRIOS DE INSTITUIÇÕES SEM CONTA RESERVA;111225146.67
202412;4010;30974003;SALDO CONTÁBIL DE DIREITOS CREDITÓRIOS DE PROCESSOS JUDICIAIS EM 30/06/2023;11831334.20
202412;4010;18878004;PRÊMIO OU DESCONTO EM OPERAÇÕES DE VENDA OU DE TRANSFERÊNCIA DE ATIVOS FINANCEIROS;-287716201.06
202412;4010;81730100;(-) Fundo de Garantia do Tempo de Serviço;-45989277.29
202412;4010;73150004;LUCROS NA ALIENAÇÃO DE VALORES E BENS;631714.26
202412;4010;90974005;SALDO CONTÁBIL DIREITOS CREDITORIOS PROCESSOS JUDICIAIS EM 30/06 – CONTROLE;11831334.20
202412;4010;49310005;REMUNERAÇÃO DO CAPITAL A PAGAR;1076749027.33
202412;4010;22510901;Outros;3290609.31
202412;4010;22530101;Mobiliário;52512167.56
202412;4010;61310007;RESERVA DE ÁGIOS POR SUBSCRIÇÃO DE AÇÕES ;1868622.13
202412;4010;12510007;APLICAÇÕES EM DEPÓSITOS DE POUPANÇA;523215.40
202412;4010;18803000;ADIANTAMENTOS E ANTECIPAÇÕES SALARIAIS;28304993.22
202412;4010;13110073;Notas do Tesouro Nacional;62767607.33
202412;4010;61150009;(-) CAPITAL A REALIZAR ;-6835401.41
202412;4010;81810233;(-) Despesas de Amortização – Intangível – Sistemas de Comunicação e de Segurança;-33940.47
202412;4010;81721401;(-) Bens Alugados;-4879530.96
202412;4010;46210108;Em Moeda Nacional;60427565.58
202412;4010;83150908;(-) Prejuízo na Alienação de Outros Valores e Bens;-940727.26
202412;4010;89410109;(-) Provisão para Imposto de Renda – Valores Correntes;-1302017673.85
202412;4010;90918205;Recursos Recebidos;342684079.98
202412;4010;22595902;(-) Outros Imobilizados em Uso;-57886.31
202412;4010;18999103;(-) Com Características de Concessão de Crédito;-360000.00
202412;4010;25115200;Gerados Internamente;86869088.56
202412;4010;81810240;(-) Despesas de Amortização – Intangível – Marcas;-1536.41
202412;4010;71400000;Rendas de Aplicações Interfinanceiras de Liquidez;160834206.51
202412;4010;30984000;ATIVOS FISCAIS DIFERIDOS – CONTROLE;2106865849.02
202412;4010;81715008;(-) DESPESAS DE CONTRIBUIÇÕES FILANTRÓPICAS;-24575881.72
202412;4010;81736001;(-) DESPESAS DE PESSOAL – TREINAMENTO;-4267873.59
202412;4010;18835009;DEVEDORES POR COMPRA DE VALORES E BENS;360000.00
202412;4010;61000001;PATRIMÔNIO LÍQUIDO;16887893677.47
202412;4010;90984002;ATIVOS FISCAIS DIFERIDOS;2106865849.02
202412;4010;12110658;Debêntures;25840330.40
202412;4010;21000003;INVESTIMENTOS;532183689.97
202412;4010;49800003;Obrigações Diversas;219479344.82
202412;4010;13000004;TÍTULOS E VALORES MOBILIÁRIOS E INSTRUMENTOS FINANCEIROS DERIVATIVOS;17736301350.09
202412;4010;90972997;Outras Remunerações do Capital;223501140.29
202412;4010;81000005;(-) DESPESAS OPERACIONAIS;-7825833926.83
202412;4010;61800005;Lucros ou Prejuízos Acumulados;-53091194.32
202412;4010;18865990;Outros Pagamentos;75718258.76
202412;4010;73000006;RECEITAS NÃO OPERACIONAIS;88281524.35
202412;4010;89000007;(-) APURAÇÃO DE RESULTADO;-1976747858.55
202412;4010;18600007;Direitos Creditórios Oriundos de Ações Judiciais;11831334.20
202412;4010;49992007;CREDORES DIVERSOS – PAÍS;8159315496.77
202412;4010;19880008;ATIVOS NÃO FINANCEIROS MANTIDOS PARA VENDA - RECEBIDOS;1194447.43
202412;4010;81800009;(-) Aprovisionamentos e Ajustes Patrimoniais;-265307586.91
202412;4010;25000009;INTANGÍVEL;581223095.77
202412;4010;61580105;Dividendos Obrigatórios não Distribuídos ;432236837.98
202412;4010;49000009;OUTRAS OBRIGAÇÕES;16724611220.32
202412;4010;89420106;(-) Provisão para Contribuição Social – Valores Correntes;-497015029.90
202412;4010;49420108;Impostos e Contribuições sobre Servicos de Terceiros;37834537.24
202412;4010;18840908;Outros;139261038.18
202412;4010;81757004;(-) DESPESAS DE SERVIÇOS DE TERCEIROS;-1621357420.92
202412;4010;71990606;Outros Créditos de Liquidação Duvidosa;97140470.66
202412;4010;18845006;IMPOSTOS E CONTRIBUIÇÕES A COMPENSAR;793083178.47
202412;4010;81830990;(-) Outras;-44193297.15
202412;4010;21210958;Ações de Empresas Privatizadas;3014.72
202412;4010;49917006;OBRIGAÇÕES POR OPERAÇÕES VINCULADAS A CESSÃO;728911085.90
202412;4010;22595407;(-) Veículos;-1039446.20
202412;4010;30945104;Utilizados;489865641837.53
202412;4010;49906000;VALORES A DEVOLVER A CLIENTES;79134.34
202412;4010;81810257;(-) Despesas de Amortização – Intangível – Licenças e Direitos Autorais e de Uso;-1397192.94
202412;4010;61810002;LUCROS OU PREJUÍZOS ACUMULADOS ;17555903.70
202412;4010;90945106;Recursos Coletados – Normais;555230003096.26
202412;4010;22599506;(-) Benfeitorias em Imóveis de Terceiros;-18934291.64
202412;4010;73990996;Outras;4362023.50
202412;4010;18610004;PRECATÓRIOS – PRÓPRIOS;11831334.20
202412;4010;13110358;Letras de Câmbio;70883666.73
202412;4010;81810006;(-) DESPESAS DE AMORTIZAÇÃO;-39837876.57
202412;4010;25125207;Gerados Internamente;4496324.23
202412;4010;71410007;RENDAS DE APLICAÇÕES EM OPERAÇÕES COMPROMISSADAS;160829573.68
202412;4010;81799000;(-) OUTRAS DESPESAS ADMINISTRATIVAS;-1397151289.87
202412;4010;81810264;(-) Despesas de Amortização – Intangível – Direitos de Exclusividade ou Preferência;-6250000.02
202412;4010;49330009;GRATIFICAÇÕES E PARTICIPAÇÕES A PAGAR;10352713.09
202412;4010;30919257;Títulos Públicos Federais – Recursos Não Procurados;102697278.95
202412;4010;22530905;Outros Equipamentos;6487712.21
202412;4010;22599001;(-) DEPRECIAÇÃO ACUMULADA DE ATIVO IMOBILIZADO DE USO;-138234471.68
202412;4010;49415003;PROVISÃO P/IMPOSTOS E CONTRIBUIÇÕES SOBRE LUCROS;280970498.84
202412;4010;81703003;(-) DESPESAS DE ÁGUA, ENERGIA E GÁS;-6108295.65
202412;4010;19870300;Imóveis;160373.93
202412;4010;31930204;Operações Vencidas;360000.00
202412;4010;81820508;(-) Benfeitorias em Imóveis de Terceiros;-1683547.55
202412;4010;81718108;(-) Conselho Fiscal;-978092.14
202412;4010;30919006;VALORES APLICADOS PELA ADMINISTRADORA – RECURSOS DE GRUPOS ENCERRADOS;2412169792.76
202412;4010;13115999;Outros;682161.31
202412;4010;18840159;Para Interposição de Outros Recursos Fiscais;85659010.01
202412;4010;83900000;(-) Outras Despesas Não Operacionais;-63175666.05
202412;4010;90919008;VALORES APLICADOS PELA ADMINISTRADORA – RECURSOS DE GRUPOS ENCERRADOS – CONTROLE;2385925148.64
202412;4010;30906208;Realizável a Longo Prazo;743837.08
202412;4010;81500000;(-) Despesas com Títulos e Valores Mobiliários e Instrumentos Financeiros Derivativos;-3743840.50
202412;4010;19100001;Investimentos Temporários;2880896.82
202412;4010;49980002;SUBSCRIÇÕES DE CAPITAL A INTEGRALIZAR;1500000.00
202412;4010;81820003;(-) DESPESAS DE DEPRECIAÇÃO;-11703419.19
202412;4010;71420004;RENDAS DE APLICAÇÕES EM DEPÓSITOS INTERFINANCEIROS;4632.83
202412;4010;91100005;Operações de Créditos e Arrendamento Mercantil;360000.00
202412;4010;71900005;Outras Receitas Operacionais;1020263979.29
202412;4010;30972005;DISTRIBUIÇÃO DA REMUNERAÇÃO DO CAPITAL NO EXERCÍCIO;5100434792.48
202412;4010;19900005;Despesas Pagas Antecipadamente;8340507958.74
202412;4010;83100006;(-) Prejuízos em Transações com Valores e Bens;-1175902.85
202412;4010;81724006;(-) DESPESAS DE MATERIAL;-4749236.22
202412;4010;49420902;Outros;299914225.53
202412;4010;22560102;Terrenos;13503129.78
202412;4010;61500006;Reservas de Lucros;8289629701.17
202412;4010;90972007;REMUNERAÇÃO DO CAPITAL DISTRIBUÍDA NO EXERCÍCIO;5100434792.48
202412;4010;19840103;Materiais;1228332.51
202412;4010;31900007;Operações de Risco Nível H;360000.00
202412;4010;13120104;Ações de Companhias Abertas;1523176.32
202412;4010;18300008;Rendas a Receber;778554647.51
202412;4010;18865000;PAGAMENTOS A RESSARCIR;75726780.29
202412;4010;49935208;Fiscais – Contestação Judicial da Constitucionalidade da Lei que Instituiu o Tributo;38052391.96
202412;4010;71580009;RENDAS EM OPERAÇÕES COM DERIVATIVOS;17172912.16
202412;4010;11100009;Caixa;189583.75
202412;4010;13115755;Cotas de Fundo em Participações;30275.36
202412;4010;21210219;Outras Participações – Valor de Equivalência Patrimonial;190798665.80
202412;4010;30984299;Ativos Fiscais Diferidos de Diferença Temporária – Provisões Passivas – Outras;809218512.40
202412;4010;83150702;(-) Prejuízo na Alienação de Ativos não Financeiros Mantidos para a Venda – Próprios;-1996.78
202412;4010;25105007;DIREITOS RELATIVOS A CARTEIRAS DE CLIENTES;31152213.89
202412;4010;13115504;Cotas de Fundo Multimercado;71162346.71
202412;4010;81810288;(-) Despesas de Amortização – Intangível – Outros;-2338708.96
202412;4010;81830000;(-) DESPESAS DE PROVISÕES OPERACIONAIS;-103776591.78
202412;4010;81777008;(-) DESPESAS DE MULTAS APLICADAS PELO BANCO CENTRAL;-332432.89
202412;4010;81745009;(-) DESPESAS DE PROPAGANDA E PUBLICIDADE;-191977541.14
202412;4010;13115250;Cotas de Fundos Referenciados;9154509866.75
202412;4010;91110002;CARTEIRA DE CRÉDITOS CLASSIFICADOS;360000.00
202412;4010;71910002;RENDAS DE CRÉDITOS VINCULADOS A OPERAÇÕES ADQUIRIDAS EM CESSÃO;1706640.53
202412;4010;81766002;(-) DESPESAS DE TRANSPORTE;-7224632.08
202412;4010;19910002;DESPESAS PAGAS ANTECIPADAMENTE;8340507958.74
202412;4010;21990003;OUTROS INVESTIMENTOS;96355961.51
202412;4010;61510003;RESERVA  LEGAL ;570810704.14
202412;4010;83990900;(-) Perdas em Outros Investimentos;-17622.30
202412;4010;49930100;Despesas de Pessoal;159730360.03
202412;4010;81990005;(-) DESPESAS DE ATUALIZAÇÃO DE IMPOSTOS E CONTRIBUIÇÕES;-7435705.02
202412;4010;25190005;OUTROS ATIVOS INTANGÍVEIS;63039022.51
202412;4010;30984309;Ativos Fiscais Diferidos de Diferença Temporária – Marcação a Mercado;30955079.48
202412;4010;81721205;(-) Ativos Não Financeiros Mantidos para Venda – Próprios;-11788.00
202412;4010;11110006;CAIXA;189583.75
202412;4010;73990006;REVERSÃO DE PROVISÕES NÃO OPERACIONAIS;4367637.72
202412;4010;83910007;(-) PERDAS DE CAPITAL;-1332798.13
202412;4010;13199991;(-) Outros no País;-1565883.26
202412;4010;61110135;Ações Ordinárias – País ;1687951679.07
202412;4010;30918007;VALORES DEVIDOS AOS CONSORCIADOS – GRUPOS ENCERRADOS – CONTROLE;2489655938.53
202412;4010;30922103;Rendas de TVM, Exceto Variação Cambial;966493178.08
202412;4010;22510200;Bens Móveis;4426365.01
202412;4010;19110008;PARTICIPAÇÕES SOCIETÁRIAS;2884738.10
202412;4010;90918009;VALORES DEVIDOS AOS CONSORCIADOS – GRUPOS ENCERRADOS;2516116355.10
202412;4010;18845305;Antecipações de ISS Não Compensadas no Próprio Exercício;2872.52
202412;4010;49990009;CREDORES DIVERSOS – EXTERIOR;316016.50
202412;4010;89710201;(-) Empregados;-41618507.58
202412;4010;25115004;SISTEMAS DE PROCESSAMENTO DE DADOS;381997214.36
202412;4010;61610109;(+/-) Próprios;-2611727.42
202412;4010;13200000;Vinculados a Operações Compromissadas;759223.97
202412;4010;21210240;Outras Participações – Ativos e Passivos Não Registrados na Investida;61304.61
202412;4010;61520000;RESERVAS ESTATUTÁRIAS ;3978195355.12
202412;4010;81200001;(-) Despesas de Obrigações por Empréstimos e Repasses;-164619.86
202412;4010;13110657;Debêntures;49981936.12
202412;4010;13115009;COTAS DE FUNDOS DE INVESTIMENTO;10118858110.34
202412;4010;30000001;COMPENSAÇÃO ATIVA;578188274084.90
202412;4010;22595201;(-) Instalações;-470361.01
202412;4010;81712001;(-) DESPESAS DE COMUNICAÇÕES;-25245242.07
202412;4010;22000002;IMOBILIZADO DE USO;123250208.05
202412;4010;46000002;OBRIGAÇÕES POR EMPRÉSTIMOS E REPASSES;291408524.26
202412;4010;90000003;COMPENSAÇÃO PASSIVA;578188274084.90
202412;4010;25195907;(-) Outros;-1014605.20
202412;4010;18800003;Diversos;6252369865.48
202412;4010;61120132;Ações Ordinárias – País ;141950000.00
202412;4010;22599300;(-) Móveis e Equipamentos;-62877792.76
202412;4010;81520004;(-) PREJUÍZOS COM TÍTULOS DE RENDA FIXA;-1536621.75
202412;4010;83990405;(-) Perdas em Ações e Cotas;-25978.35
202412;4010;13110406;LC - Instituição Financeira Ligada;33710984.65
202412;4010;71984007;RENDAS DE DIREITOS CREDITÓRIOS ORIUNDOS DE AÇÕES JUDICIAIS;422515.57
202412;4010;10000007;ATIVO REALIZÁVEL;36623828731.01
202412;4010;81840007;(-) DESPESAS DE PROVISÕES PASSIVAS;-109989699.37
202412;4010;61200007;Correção Monetária do Capital;3366.16
202412;4010;90917000;VALORES PENDENTES DE RECEBIMENTO – COBRANÇA JUDICIAL – CONTROLE;1384011963.06
202412;4010;81925001;(-) DESPESAS DE IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA – ISS;-387543556.14
202412;4010;70000009;RESULTADO CREDOR;13823505657.03
202412;4010;25125001;SISTEMAS DE COMUNICAÇÃO E DE SEGURANÇA;5386501.52
202412;4010;21200009;Participações em Coligadas e Controladas no País;434077254.49
202412;4010;18000009;OUTROS CRÉDITOS;6923706182.98
202412;4010;30919305;Títulos Públicos Federais – Recursos Recebidos;51145549.04
202412;4010;61140105;(-) Redução de Capital – País;-219107.00
