#Data_base;Documento;CNPJ_da_Administradora;Nome_da_Administradora
202412;4110;00000776;ITAÚ ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;00266031;CICAL ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;00600262;FERRAZ ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;00643742;FUNDACAO HABITACIONAL DO EXERCITO - FHE
202412;4110;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.
202412;4110;03403333;IRMÃOS DE MARCO ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;03586655;H. ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;03762395;BRENNER ADMINISTRADORA DE CONSORCIO LTDA
202412;4110;03762583;ÁPICE ADMINISTRADORA DE CONSORCIO LTDA
202412;4110;03828278;ADMINISTRADORA DE CONSÓRCIOS BECKER LTDA.
202412;4110;03832228;APEC - ADMINISTRADORA DE CONSORCIOS S/A
202412;4110;04058605;SOLUÇÃO ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;04124922;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA.
202412;4110;04250224;MAGGI ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;04751943;FRANCAUTO ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;05126027;MOTOASA ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;05349595;CNP CONSÓRCIO S.A. ADMINISTRADORA DE CONSÓRCIOS
202412;4110;05395814;NOVOTEMPO ADMINISTRADORA DE CONSORCIOS LTDA.
202412;4110;05551841;TÁGIDE ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;05652765;NANUQUE ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;05794450;DESTAQUE ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.
202412;4110;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA
202412;4110;06046109;BRISA ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;06181431;BP ADMINISTRADORA DE CONSÓRCIO LTDA
202412;4110;06940240;FIEL PADUA ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;07336852;CONBRAV - ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA
202412;4110;08570707;ELDORADO ADMINISTRADORA DE CONSORCIO LTDA
202412;4110;09111444;PROMOVE ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;11747606;FANCAR ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;12228808;ADMINISTRADORA DE CONSÓRCIO UNICOOB LTDA
202412;4110;13170428;CIMAVEL ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;13548938;ASSOCIACAO BAHIANA DE MEDICINA ABM
202412;4110;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;16551061;SICOOB ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;20919916;OPÇÃO ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;22245020;VIVIANI ADMINISTRADORA DE CONSÓRCIO NACIONAL LTDA.
202412;4110;23367634;ZEMA ADMINISTRADORA DE CONSÓRCIO LTDA
202412;4110;23767155;RECON ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;26228270;GROSCON ADMINISTRADORA DE CONSORCIOS LTDA.
202412;4110;26253658;SM ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;27268770;COIMEX ADMINISTRADORA DE CONSÓRCIOS S.A.
202412;4110;27836377;QUALINVEST ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;28904092;RESERVA ADMINISTRADORA DE CONSÓRCIO LTDA
202412;4110;33350620;FEDERACAO NAC. DE ASSOCIACOES DOS SERVIDORES DO BCO CENTRAL
202412;4110;33868654;CLUBE NAVAL - CAIXA BENEFICIENTE
202412;4110;40011095;XS5 ADMINISTRADORA DE CONSÓRCIOS S.A.
202412;4110;40513064;EUTBEM ADMINISTRADORA DE CONSÓRCIO S.A.
202412;4110;41629070;KLUBI ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;42421776;ITAÚ UNIBANCO VEÍCULOS ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;42735881;EVOY ADMINISTRADORA DE CONSORCIO LTDA.
202412;4110;43707203;TOYOTA ADMINISTRADORA DE CONSÓRCIOS DO BRASIL LTDA.
202412;4110;44196293;CONSHOP ADMINISTRADORA DE CONSORCIOS LTDA.
202412;4110;44474674;COMAUTO ADMINISTRADORA DE CONSORCIO LTDA
202412;4110;44479061;FRA-FREIRE ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA
202412;4110;45700892;GAP ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;45713971;BRQUALY ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;45725975;FINAMA ADMINISTRADORA DE CONSORCIO LTDA
202412;4110;45793395;MASSEY FERGUSON ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;46349106;MERCABENCO ADMINISTRADORA DE CONSORCIO LTDA
202412;4110;46931655;UNECONSORCIO ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;47458153;YAMAHA ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;47658539;CONSÓRCIO NACIONAL VOLKSWAGEN - ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;47820097;GAPLAN ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;48041735;PORTO SEGURO ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;49937055;GMAC ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;49995293;VINAC ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;50586247;UNAFISCO - ASSOCIAÇÃO NACIONAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL
202412;4110;51597300;PRIMO ROSSI ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;51855716;RODOBENS ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;53211488;TARRAF ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;54708839;SPERTA ADMINISTRADORA DE CONSORCIO NACIONAL LTDA
202412;4110;55942312;SANTANDER BRASIL ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;56103171;CONSCLIC ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;56360266;VALTRA ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;57723801;SUZUKI MOTOS ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;58113812;EMBRACON ADMINISTRADORA DE CONSÓRCIO S/A
202412;4110;58919903;CONVEF ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;59129403;CNF - ADMINISTRADORA DE CONSÓRCIOS NACIONAL LTDA.
202412;4110;59395061;DISAL ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;59956185;TRADIÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;59999300;ADMINISTRADORA DE CONSÓRCIO NACIONAL VIME LTDA.
202412;4110;60250776;LUIZA ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.
202412;4110;60732997;UNIFISA ADMINISTRADORA NACIONAL DE CONSORCIOS LTDA
202412;4110;61550836;COOPERATIVA MISTA ROMA - PROIBIDA DE COMERCIALIZAR COTAS DE CONSORCIO POR SI OU POR REPRESENTANTES P
202412;4110;62246228;REDENÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;62354055;REMAZA ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;62798475;KSK ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S/A
202412;4110;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;72461643;CAMVEL ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA
202412;4110;73235962;BREITKOPF ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;73516106;HS ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;74118381;VOLVO ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;75770164;CONBR ADMINISTRADORA DE CONSÓRCIOS S.A.
202412;4110;76515071;SERVOPA ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;76853043;MENEGALLI ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;78199262;TRIÂNGULO ADMINISTRADORA DE CONSÓRCIOS S/A
202412;4110;78688462;FIPAL ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;80402746;RIVEL ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;80674393;SANTA FÉ ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;82942400;GAMBATTO ADMINISTRADORA DE CONSORCIOS LTDA.
202412;4110;83553883;UNIÃO CATARINENSE ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.
202412;4110;85322204;GLOBO ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;87433413;PORTOBENS ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;87636635;SPONCHIADO ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;87852273;SINOSSERRA ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;87945218;SIMPALA LANÇADORA E ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;89472310;SERRANA ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.
202412;4110;91107581;FARROUPILHA ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;91108027;RANDON ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;91338228;GRAVEL ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.
202412;4110;92002609;REDE OESTE ADMINISTRADORA DE CONSORCIOS LTDA.
202412;4110;92459213;CONESUL ADMINISTRADORA DE CONSÓRCIOS LTDA.
202412;4110;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS
202412;4110;92965748;ASSOCIACAO DOS JUIZES DO RIO GRANDE DO SUL
202412;4110;94187879;SERELLO ADMINISTRADORA DE CONSÓRCIOS LTDA
202412;4110;95783262;CARLESSI ADMINISTRADORA DE CONSORCIOS LTDA
202412;4110;96479258;SCANIA ADMINISTRADORA DE CONSÓRCIOS LTDA.
