#Data_base;CNPJ_da_Administradora;Nome_da_Administradora;Código_do_segmento;Unidade_da_Federação_do_consorciado;Quantidade_de_consorciados_ativos_contemplados_por_lance;Quantidade_de_consorciados_ativos_contemplados_por_sorteio;Quantidade_de_consorciados_ativos_não_contemplados;Quantidade_de_consorciados_excluídos_contemplados;Quantidade_de_consorciados_excluídos_não_contemplados;Quantidade_de_consorciados_ativos_contemplados_por_lance_no_trimestre;Quantidade_de_consorciados_ativos_contemplados_por_sorteio_no_trimestre;Quantidade_de_consorciados_excluídos_contemplados_no_trimestre;Quantidade_de_adesões_no_trimestre
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AC;17;9;61;13;228;1;0;1;9
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AC;0;1;2;0;0;0;0;0;0
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AC;127;32;191;41;266;5;5;9;23
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AC;87;4;21;3;84;14;0;0;13
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AL;112;52;384;48;805;5;2;2;92
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AL;7;0;16;0;15;2;0;0;1
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AL;518;119;804;98;1099;33;15;25;131
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AL;77;5;193;8;375;1;0;0;15
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AM;197;102;921;147;2978;23;8;3;172
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AM;18;2;48;2;57;2;0;0;0
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AM;1179;294;1692;271;2829;65;33;82;206
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AM;118;13;261;26;844;23;2;4;25
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AP;16;14;131;13;420;0;0;1;20
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AP;5;0;6;1;13;0;0;0;0
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AP;157;56;282;47;624;6;9;13;18
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AP;19;6;63;3;228;0;1;0;1
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;BA;1477;419;2776;426;8453;76;24;13;616
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;BA;421;17;182;11;243;28;4;2;30
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;BA;18650;1101;6721;1720;13792;1159;133;639;1741
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;BA;1330;41;522;53;1683;133;6;1;110
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;CE;756;174;1131;143;2864;56;15;9;269
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;CE;62;8;67;5;79;16;1;0;14
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;CE;9758;580;3734;605;5585;727;93;213;1255
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;CE;3296;48;547;36;1715;215;5;8;150
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;DF;602;206;1154;155;2664;24;7;7;297
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;DF;67;3;41;3;67;8;0;0;2
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;DF;4437;450;2488;472;4941;228;64;140;306
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;DF;694;18;202;13;486;49;2;1;33
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;ES;687;181;1318;214;4689;14;8;7;239
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;ES;125;9;50;4;84;14;0;0;10
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;ES;7603;418;2821;567;4961;332;31;165;581
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;ES;384;36;407;33;986;62;8;2;37
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;GO;2005;638;3496;468;10043;60;24;13;694
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;GO;281;21;132;15;251;24;2;1;18
202506;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;GO;21758;1476;10219;1844;18601;869;184;587;1769
