#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_grupo;Código_do_segmento;Número_da_assembléia_geral_ordinária;Valor_médio_do_bem;Índice_de_correção;Taxa_de_administração;Prazo_do_grupo_em_meses;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00057;1;182;232071,89;3;20,60469;200;707;39;0;1;2967;397;90
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00058;1;179;522509,37;3;18,96488;200;608;43;1;8;2128;264;73
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00061;1;178;198784,02;3;21,30866;200;750;49;0;0;2620;398;79
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00062;1;177;274389,27;3;18,73604;200;718;32;2;5;2258;299;99
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00063;1;177;237084,05;3;10,91300;200;578;22;0;0;655;442;11
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00064;1;177;206461,41;3;21,02825;200;764;36;0;0;2890;403;57
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00065;1;176;237730,55;3;10,80283;200;568;31;1;0;769;412;21
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00066;1;175;214021,72;3;20,63841;200;730;35;3;7;2849;337;102
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00067;1;172;272554,93;3;20,16958;200;603;36;2;4;2204;280;72
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00068;1;174;191653,61;3;21,43404;200;759;39;1;0;3361;389;103
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00069;1;174;213251,48;3;20,63380;200;678;42;1;3;3097;292;80
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00070;1;172;203173,09;3;20,21163;200;694;35;0;5;3250;331;95
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00071;1;171;199523,13;3;20,35538;200;650;37;1;4;3327;274;77
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00074;1;169;288883,41;3;20,85144;200;738;58;3;5;2315;320;93
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00075;1;170;437760,34;3;22,54919;180;758;49;0;0;2545;412;35
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00076;1;168;1084766,54;3;15,95379;180;856;39;1;0;2109;496;35
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00077;1;169;432014,69;3;23,38602;180;650;51;0;0;2497;370;29
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00078;1;168;295810,95;3;20,73764;200;611;30;2;2;1974;277;63
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202507;00079;1;167;428230,59;3;11,06032;200;701;37;3;4;697;412;46
