#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_segmento;Taxa_de_administração;Quantidade_de_grupos_ativos;Quantidade_de_grupos_constituídos_no_mês;Quantidade_de_grupos_encerrados_no_mês;Quantidade_de_cotas_comercializadas_no_mês;Quantidade_de_cotas_excluídas_a_comercializar;Quantidade_acumulada_de_cotas_ativas_contempladas;Quantidade_de_cotas_ativas_não_contempladas;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
ADEMICON ADM CONS S.A.;84911098;202507;1;23,86296;92;3;0;22071;7916;26010;257167;707;246253;2741;34183;180883;3311;6253
ADEMICON ADM CONS S.A.;84911098;202507;2;13,85631;55;1;1;550;2932;21420;18255;452;35845;1828;2002;19242;8771;1977
ADEMICON ADM CONS S.A.;84911098;202507;3;14,75846;82;2;0;4756;732;15963;60286;666;67284;1140;7825;42318;2800;4119
ADEMICON ADM CONS S.A.;84911098;202507;4;23,20000;1;0;0;62;57;33;347;8;332;0;48;64;0;14
ADEMICON ADM CONS S.A.;84911098;202507;5;0,00000;0;0;0;9;0;0;0;0;0;0;0;0;0;0
ADEMICON ADM CONS S.A.;84911098;202507;6;23,01398;4;0;0;202;468;1032;1686;51;2225;198;295;1411;140;271
ADM CONS BECKER LTDA;03828278;202507;1;20,65076;6;0;0;30;609;791;1605;18;2106;160;130;3161;107;171
ADM CONS BECKER LTDA;03828278;202507;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS BECKER LTDA;03828278;202507;3;17,89943;6;0;0;49;216;633;1061;21;1484;84;126;1346;143;86
ADM CONS BECKER LTDA;03828278;202507;4;17,40399;8;0;0;56;68;2077;782;40;2524;257;78;2029;883;269
ADM CONS BECKER LTDA;03828278;202507;5;18,21980;13;0;0;83;176;1867;1404;50;2852;299;120;1807;519;385
ADM CONS BECKER LTDA;03828278;202507;6;17,42229;4;0;0;29;38;324;313;12;564;45;28;310;51;66
ADM CONS NAC HONDA LTDA;45441789;202507;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC HONDA LTDA;45441789;202507;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC HONDA LTDA;45441789;202507;3;15,46260;62;0;0;106;3693;3952;4377;123;7753;206;370;7100;1408;707
ADM CONS NAC HONDA LTDA;45441789;202507;4;23,04230;3584;69;45;97833;838967;1316011;1012921;50941;2050620;150803;127509;2204896;463817;117490
ADM CONS NAC HONDA LTDA;45441789;202507;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC HONDA LTDA;45441789;202507;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202507;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202507;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202507;3;18,40630;7;0;0;24;216;749;300;11;945;65;39;1476;365;38
ADM CONS NAC VIME LTDA;59999300;202507;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202507;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202507;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202507;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202507;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202507;3;18,58487;46;0;0;580;15710;12872;9326;211;19496;1517;1185;72766;5005;1753
ADM CONS RCI BRASIL LTDA;73230674;202507;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202507;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202507;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS SICREDI LTDA;07808907;202507;1;12,45041;96;3;0;1475;1633;29391;44933;546;69412;1410;3502;29281;7230;12898
ADM CONS SICREDI LTDA;07808907;202507;2;7,92502;89;0;0;878;602;25010;21602;518;43775;1702;1135;8925;7440;9662
ADM CONS SICREDI LTDA;07808907;202507;3;9,44526;314;5;5;7497;1373;110301;118134;3028;217509;5059;5867;48353;32350;23378
ADM CONS SICREDI LTDA;07808907;202507;4;12,62008;101;2;2;1298;233;26769;18693;738;42447;1785;1230;12318;8237;5287
ADM CONS SICREDI LTDA;07808907;202507;5;14,10039;4;0;0;5;20;950;374;24;1232;58;34;376;281;118
ADM CONS SICREDI LTDA;07808907;202507;6;14,89120;95;3;2;2007;289;32200;22109;1430;49703;3268;1338;9102;6841;3990
ADM CONS SPENGLER LTDA;91341925;202507;1;22,72204;1;0;0;40;85;19;294;0;258;3;52;211;1;9
ADM CONS SPENGLER LTDA;91341925;202507;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS SPENGLER LTDA;91341925;202507;3;15,52298;37;1;0;106;1827;2607;1776;37;3812;305;266;3552;1398;265
ADM CONS SPENGLER LTDA;91341925;202507;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS SPENGLER LTDA;91341925;202507;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS SPENGLER LTDA;91341925;202507;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS UNICOOB LTDA;12228808;202507;1;11,63771;15;1;0;193;1588;5227;7190;99;11517;294;606;9019;1122;1303
ADM CONS UNICOOB LTDA;12228808;202507;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS UNICOOB LTDA;12228808;202507;3;10,97293;36;1;1;842;1166;18019;11758;449;27394;1282;1101;11547;5798;2702
ADM CONS UNICOOB LTDA;12228808;202507;4;13,57934;3;0;0;48;246;911;904;38;1681;59;75;573;139;244
ADM CONS UNICOOB LTDA;12228808;202507;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS UNICOOB LTDA;12228808;202507;6;12,84799;14;2;0;395;119;5887;4412;262;9306;629;364;2316;1532;672
ALPHA ADM CONS LTDA;90982679;202507;1;22,87531;5;0;0;418;2571;637;11808;22;7595;192;4658;20646;20;305
